time,TempPlant1,TempPlant2,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-18T06:05:00.0,0,0,0,0,-2.0462,3.562,0.75
2020-02-18T06:06:00.0,0,0,0,0,-2.0462,3.562,0.75
2020-02-18T06:07:00.0,0,0,0,0,-2.0462,3.562,0.687
2020-02-18T06:08:00.0,0,0,0,0,-2.0462,3.562,0.75
2020-02-18T06:09:00.0,0,0,0,0,-2.0462,3.562,0.75
2020-02-18T06:10:00.0,0,0,0,0,-2.0462,3.562,0.75
2020-02-18T06:11:00.0,0,0,0,0,-2.0462,3.625,0.75
2020-02-18T06:12:00.0,0,0,0,0,-2.0462,3.625,0.75
2020-02-18T06:13:00.0,0,0,0,0,-2.0462,3.562,0.812
2020-02-18T06:14:00.0,0,0,0,0,-2.0462,3.625,0.812
2020-02-18T06:15:00.0,0,0,0,0,-2.0462,3.625,0.812
2020-02-18T06:16:00.0,0,0,0,0,-2.0462,3.625,0.812
2020-02-18T06:17:00.0,0,0,0,0,-2.0462,3.687,0.812
2020-02-18T06:18:00.0,0,0,0,0,-2.0462,3.687,0.812
2020-02-18T06:19:00.0,0,0,0,0,-2.0462,3.687,0.812
2020-02-18T06:20:00.0,0,0,0,0,-2.0462,3.687,0.812
2020-02-18T06:21:00.0,0,0,0,0,-2.0462,3.687,0.875
2020-02-18T06:22:00.0,0,0,0,0,-2.0462,3.687,0.812
2020-02-18T06:23:00.0,0,0,0,0,-2.0462,3.687,0.812
2020-02-18T06:24:00.0,0,0,0,0,-2.0462,3.687,0.812
2020-02-18T06:25:00.0,,,,,,,
2020-02-18T06:26:00.0,,,,,,,
2020-02-18T06:27:00.0,0,0,0,0,-2.0462,3.687,0.812
2020-02-18T06:28:00.0,0,0,0,0,-2.0462,3.75,0.812
2020-02-18T06:29:00.0,0,0,0,0,-2.0462,3.75,0.875
2020-02-18T06:30:00.0,0,0,0,0,-2.0462,3.812,0.812
2020-02-18T06:31:00.0,0,0,0,0,-2.0462,3.812,0.875
2020-02-18T06:32:00.0,0,0,0,0,-2.0462,3.812,0.875
2020-02-18T06:33:00.0,0,0,0,0,-2.0462,3.812,0.875
2020-02-18T06:34:00.0,0,0,0,0,-2.0462,3.875,0.875
2020-02-18T06:35:00.0,0,0,0,0,-2.0462,3.875,0.875
2020-02-18T06:36:00.0,0,0,0,0,-2.0462,3.875,0.937
2020-02-18T06:37:00.0,0,0,0,0,-2.0462,3.875,0.937
2020-02-18T06:38:00.0,0,0,0,0,-2.0462,3.937,0.937
2020-02-18T06:39:00.0,0,0,0,0,-2.0462,3.937,1
2020-02-18T06:40:00.0,0,0,0,0,-2.0462,3.875,1
2020-02-18T06:41:00.0,0,0,0,0,-2.0462,3.875,1
2020-02-18T06:42:00.0,0,0,0,0,-2.0462,3.937,1
2020-02-18T06:43:00.0,0,0,0,0,-2.0462,4,1
2020-02-18T06:44:00.0,0,0,0,0,-2.0462,4,1
2020-02-18T06:45:00.0,0,0,0,0,-2.0462,4.062,1
2020-02-18T06:46:00.0,0,0,0,0,-2.0462,4.062,1
2020-02-18T06:47:00.0,0,0,0,0,-2.0462,4.062,1
2020-02-18T06:48:00.0,0,0,0,0,-2.0462,4.062,1
2020-02-18T06:49:00.0,0,0,0,0,-2.0462,4.125,1.062
2020-02-18T06:50:00.0,0,0,0,0,-2.0462,4.125,1.062
2020-02-18T06:51:00.0,0,0,0,0,-2.0462,4.187,1.062
2020-02-18T06:52:00.0,0,0,0,0,-2.0462,4.125,1.125
2020-02-18T06:53:00.0,0,0,0,0,-2.0462,4.187,1.062
2020-02-18T06:54:00.0,0,0,0,0,-2.0462,4.187,1.062
2020-02-18T06:55:00.0,0,0,0,0,-2.0462,4.187,1.125
2020-02-18T06:56:00.0,0,0,0,0,-2.0462,4.187,1.125
2020-02-18T06:57:00.0,0,0,0,0,-2.0462,4.187,1.125
2020-02-18T06:58:00.0,0,0,0,0,-2.0462,4.25,1.125
2020-02-18T06:59:00.0,0,0,0,0,-2.0462,4.187,1.187
2020-02-18T07:00:00.0,0,0,0,0,-2.0462,4.25,1.187
2020-02-18T07:01:00.0,0,0,0,0,-2.0462,4.25,1.25
2020-02-18T07:02:00.0,0,0,0,0,-2.0462,4.312,1.187
2020-02-18T07:03:00.0,0,0,0,0,-2.0462,4.312,1.187
2020-02-18T07:04:00.0,0,0,0,0,-2.0462,4.375,1.187
2020-02-18T07:05:00.0,0,0,0,0,-2.0462,4.375,1.187
2020-02-18T07:06:00.0,0,0,0,0,-2.0462,4.375,1.25
2020-02-18T07:07:00.0,0,0,0,0,-2.0462,4.437,1.25
2020-02-18T07:08:00.0,0,0,0,0,-2.0462,4.5,1.312
2020-02-18T07:09:00.0,0,0,0,0,-2.0462,4.437,1.312
2020-02-18T07:10:00.0,0,0,0,0,-2.0462,4.5,1.312
2020-02-18T07:11:00.0,0,0,0,0,-2.0462,4.5,1.312
2020-02-18T07:12:00.0,0,0,0,0,-2.0462,4.562,1.312
2020-02-18T07:13:00.0,0,0,0,0,-2.0462,4.625,1.312
2020-02-18T07:14:00.0,0,0,0,0,-2.0462,4.625,1.312
2020-02-18T07:15:00.0,0,0,0,0,-2.0462,4.687,1.375
2020-02-18T07:16:00.0,0,0,0,0,-2.0462,4.687,1.375
2020-02-18T07:17:00.0,0,0,0,0,-2.0462,4.75,1.375
2020-02-18T07:18:00.0,0,0,0,0,-2.0462,4.812,1.437
2020-02-18T07:19:00.0,0,0,0,0,-2.0462,4.875,1.437
2020-02-18T07:20:00.0,0,0,0,0,-2.0462,4.875,1.437
2020-02-18T07:21:00.0,,,,,,,
2020-02-18T07:22:00.0,0,0,0,0,-2.0462,5,1.5
2020-02-18T07:23:00.0,0,0,0,0,-2.0462,5,1.5
2020-02-18T07:24:00.0,0,0,0,0,-2.0462,5.062,1.5
2020-02-18T07:25:00.0,0,0,0,0,-2.0462,5.062,1.562
2020-02-18T07:26:00.0,0,0,0,0,-2.0462,5.125,1.562
2020-02-18T07:27:00.0,0,0,0,0,-2.0462,5.187,1.562
2020-02-18T07:28:00.0,0,0,0,0,-2.0462,5.187,1.562
2020-02-18T07:29:00.0,0,0,0,0,-2.0462,5.25,1.562
2020-02-18T07:30:00.0,0,0,0,0,-2.0462,5.312,1.625
2020-02-18T07:31:00.0,0,0,0,0,-2.0462,5.375,1.625
2020-02-18T07:32:00.0,0,0,0,0,-2.0462,5.375,1.625
2020-02-18T07:33:00.0,0,0,0,0,-2.0462,5.437,1.687
2020-02-18T07:34:00.0,0,0,0,0,-2.0462,5.5,1.687
2020-02-18T07:35:00.0,0,0,0,0,-2.0462,5.5,1.75
2020-02-18T07:36:00.0,0,0,0,0,-2.0462,5.562,1.687
2020-02-18T07:37:00.0,0,0,0,0,-2.0462,5.562,1.687
2020-02-18T07:38:00.0,0,0,0,0,-2.0462,5.562,1.687
2020-02-18T07:39:00.0,0,0,0,0,-2.0462,5.625,1.75
2020-02-18T07:40:00.0,0,0,0,0,-2.0462,5.625,1.75
2020-02-18T07:41:00.0,0,0,0,0,-2.0462,5.687,1.812
2020-02-18T07:42:00.0,0,0,0,0,-2.0462,5.687,1.812
2020-02-18T07:43:00.0,0,0,0,0,-2.0462,5.687,1.875
2020-02-18T07:44:00.0,0,0,0,0,-2.0462,5.812,1.875
2020-02-18T07:45:00.0,0,0,0,0,-2.0462,5.875,1.812
2020-02-18T07:46:00.0,0,0,0,0,-2.0462,5.875,1.875
2020-02-18T07:47:00.0,0,0,0,0,-2.0462,5.875,1.875
2020-02-18T07:48:00.0,0,0,0,0,-2.0462,5.937,1.875
2020-02-18T07:49:00.0,0,0,0,0,-2.0462,6,1.875
2020-02-18T07:50:00.0,0,0,0,0,-2.0462,6.062,1.937
2020-02-18T07:51:00.0,0,0,0,0,-2.0462,6.062,1.937
2020-02-18T07:52:00.0,0,0,0,0,-2.0462,6.125,1.937
2020-02-18T07:53:00.0,0,0,0,0,-2.0462,6.187,1.937
2020-02-18T07:54:00.0,0,0,0,0,-2.0462,6.187,2
