time,TempPlant3,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-23T00:00:00.0,,,,,,,
2020-02-23T00:01:00.0,,,,,,,
2020-02-23T00:02:00.0,6.21,6.11,6.29,3.78,86.16971798050001,3.562,1
2020-02-23T00:03:00.0,6.39,5.99,5.81,3.8,86.1137153125,3.562,0.937
2020-02-23T00:04:00.0,6.25,5.99,6.29,3.61,86.1137153125,3.562,1
2020-02-23T00:05:00.0,6.65,6.25,6.47,3.67,86.2257078845,3.562,1
2020-02-23T00:06:00.0,6.11,5.95,5.73,3.59,86.1137153125,3.625,0.937
2020-02-23T00:07:00.0,5.89,5.81,6.17,3.46,86.25369805,3.625,0.937
2020-02-23T00:08:00.0,5.99,5.93,6.13,3.4,86.701106722,3.625,1
2020-02-23T00:09:00.0,5.93,5.63,5.85,3.44,87.0919192,3.625,1.062
2020-02-23T00:10:00.0,6.35,5.99,6.61,3.49,86.756975368,3.562,1.062
2020-02-23T00:11:00.0,6.07,5.67,6.17,3.58,86.421572032,3.625,1.187
2020-02-23T00:12:00.0,6.29,5.95,6.25,3.62,86.36562680200001,3.625,1.187
2020-02-23T00:13:00.0,6.57,5.99,6.39,3.68,86.197714528,3.625,1.25
2020-02-23T00:14:00.0,6.43,6.61,6.53,3.8,86.05769988050001,3.562,1.312
2020-02-23T00:15:00.0,6.21,6.21,6.43,3.78,85.8335105125,3.562,1.312
2020-02-23T00:16:00.0,6.21,5.99,5.99,3.59,85.917605458,3.625,1.312
2020-02-23T00:17:00.0,6.43,5.93,6.53,3.43,86.2816850245,3.562,1.312
2020-02-23T00:18:00.0,6.83,6.33,5.37,3.66,86.2816850245,3.562,1.312
2020-02-23T00:19:00.0,6.17,6.43,6.39,3.64,86.2257078845,3.562,1.312
2020-02-23T00:20:00.0,6.33,6.35,6.53,3.6,86.2257078845,3.562,1.312
2020-02-23T00:21:00.0,6.03,6.21,5.77,3.56,86.421572032,3.562,1.312
2020-02-23T00:22:00.0,6.75,5.81,6.73,3.44,86.72904264050001,3.562,1.375
2020-02-23T00:23:00.0,6.61,6.39,6.35,3.56,86.64522531200001,3.562,1.312
2020-02-23T00:24:00.0,6.47,6.43,5.95,3.74,86.47750449800002,3.562,1.312
2020-02-23T00:25:00.0,,,,,,,
2020-02-23T00:26:00.0,6.57,5.99,6.25,3.68,86.1137153125,3.562,1.375
2020-02-23T00:27:00.0,6.57,6.11,6.13,3.64,86.00167168450001,3.562,1.312
2020-02-23T00:28:00.0,6.57,6.43,6.33,3.68,86.029687378,3.562,1.312
2020-02-23T00:29:00.0,6.33,6.13,6.21,3.68,86.00167168450001,3.562,1.375
2020-02-23T00:30:00.0,6.51,6.53,6.65,3.76,86.141718242,3.562,1.375
2020-02-23T00:31:00.0,6.61,6.07,6.65,3.77,85.86154535200001,3.625,1.375
2020-02-23T00:32:00.0,6.73,6.17,6.35,3.7,85.5529866125,3.625,1.375
2020-02-23T00:33:00.0,6.83,6.03,6.73,3.72,85.412605,3.625,1.375
2020-02-23T00:34:00.0,6.65,6.61,6.17,3.76,85.2721436125,3.562,1.312
2020-02-23T00:35:00.0,6.25,5.95,6.21,3.82,85.2721436125,3.625,1.312
2020-02-23T00:36:00.0,5.93,5.99,5.99,3.74,85.3845191045,3.625,1.375
2020-02-23T00:37:00.0,6.75,5.93,6.39,3.64,85.35643001800001,3.562,1.375
2020-02-23T00:38:00.0,6.61,6.11,6.33,3.78,85.21593672050001,3.562,1.375
2020-02-23T00:39:00.0,6.73,6.33,6.65,3.85,84.8784273245,3.562,1.375
2020-02-23T00:40:00.0,6.51,6.29,6.13,3.92,84.70950031250001,3.562,1.437
2020-02-23T00:41:00.0,6.29,5.77,5.71,3.8,84.42770001250001,3.562,1.437
2020-02-23T00:42:00.0,6.75,6.13,6.47,3.77,84.70950031250001,3.562,1.437
2020-02-23T00:43:00.0,6.69,6.35,6.83,3.86,84.3148905445,3.562,1.5
2020-02-23T00:44:00.0,6.21,6.25,6.65,3.88,83.97615580450001,3.5,1.5
2020-02-23T00:45:00.0,,,,,,,
2020-02-23T00:46:00.0,6.39,6.11,6.11,3.78,84.2584666645,3.5,1.5
2020-02-23T00:47:00.0,6.65,5.99,6.73,3.72,84.3148905445,3.5,1.5
2020-02-23T00:48:00.0,6.65,6.91,6.73,3.84,84.117351122,3.562,1.5
2020-02-23T00:49:00.0,6.79,6.91,6.39,3.8,84.230249938,3.5,1.437
2020-02-23T00:50:00.0,6.53,6.33,6.29,3.79,84.5404584245,3.562,1.437
2020-02-23T00:51:00.0,6.13,6.33,5.85,3.67,84.73766279200001,3.562,1.437
2020-02-23T00:52:00.0,6.57,6.03,6.51,3.57,84.7658220805,3.562,1.437
2020-02-23T00:53:00.0,6.65,6.47,6.57,3.6,84.9909815125,3.562,1.437
2020-02-23T00:54:00.0,5.85,6.43,6.69,3.59,84.7658220805,3.562,1.437
2020-02-23T00:55:00.0,6.75,6.29,6.69,3.69,84.6531657805,3.562,1.437
2020-02-23T00:56:00.0,6.43,6.29,6.25,3.68,84.5404584245,3.562,1.437
2020-02-23T00:57:00.0,,,,,,,
2020-02-23T00:58:00.0,,,,,,,
2020-02-23T00:59:00.0,6.39,6.61,6.83,3.79,84.5968184845,3.625,1.437
2020-02-23T01:00:00.0,6.73,6.51,6.75,3.84,84.70950031250001,3.625,1.437
2020-02-23T01:01:00.0,6.11,6.25,5.73,3.75,84.681334642,3.625,1.437
2020-02-23T01:02:00.0,6.53,6.57,6.83,3.64,84.90657065800002,3.687,1.437
2020-02-23T01:03:00.0,6.75,6.53,6.57,3.7,84.90657065800002,3.687,1.437
2020-02-23T01:04:00.0,6.53,6.43,6.57,3.76,84.8784273245,3.687,1.375
2020-02-23T01:05:00.0,6.47,6.35,6.11,3.76,85.04723946050001,3.687,1.375
2020-02-23T01:06:00.0,6.47,6.13,6.03,3.64,85.2721436125,3.687,1.437
2020-02-23T01:07:00.0,6.79,6.03,6.61,3.52,85.49684354050001,3.687,1.375
2020-02-23T01:08:00.0,6.65,6.13,6.93,3.57,85.8335105125,3.687,1.375
2020-02-23T01:09:00.0,6.35,6.03,6.47,3.65,85.7213392445,3.687,1.375
2020-02-23T01:10:00.0,6.61,6.25,5.33,3.68,85.6091169205,3.687,1.375
2020-02-23T01:11:00.0,6.29,5.85,6.25,3.6,85.7213392445,3.687,1.375
2020-02-23T01:12:00.0,6.73,6.17,6.87,3.64,85.77743126050001,3.687,1.375
2020-02-23T01:13:00.0,6.53,6.51,6.53,3.68,85.7213392445,3.687,1.312
2020-02-23T01:14:00.0,6.43,6.43,6.57,3.66,85.7213392445,3.687,1.312
2020-02-23T01:15:00.0,6.33,6.33,6.83,3.64,85.63717728800002,3.687,1.312
2020-02-23T01:16:00.0,6.29,5.85,5.93,3.6,85.7213392445,3.687,1.312
2020-02-23T01:17:00.0,6.53,5.99,6.39,3.55,85.77743126050001,3.687,1.312
2020-02-23T01:18:00.0,6.25,6.35,6.25,3.6,85.88957700050001,3.75,1.312
2020-02-23T01:19:00.0,6.25,6.39,6.43,3.58,85.805472482,3.75,1.312
2020-02-23T01:20:00.0,6.39,6.11,6.35,3.64,85.6652344645,3.75,1.25
2020-02-23T01:21:00.0,6.25,5.85,6.13,3.58,85.581053362,3.75,1.25
2020-02-23T01:22:00.0,5.73,6.47,6.21,3.54,85.69328845000001,3.75,1.25
2020-02-23T01:23:00.0,6.57,6.25,6.25,3.58,85.77743126050001,3.75,1.187
2020-02-23T01:24:00.0,5.99,6.03,6.53,3.57,86.05769988050001,3.75,1.187
2020-02-23T01:25:00.0,6.25,5.99,6.73,3.54,86.16971798050001,3.812,1.25
2020-02-23T01:26:00.0,6.21,5.93,6.17,3.52,86.029687378,3.75,1.187
2020-02-23T01:27:00.0,6.53,6.25,6.53,3.52,86.3376494005,3.812,1.187
2020-02-23T01:28:00.0,6.39,6.17,6.65,3.58,86.589331138,3.812,1.187
2020-02-23T01:29:00.0,5.99,6.35,6.57,3.64,86.67316761250001,3.875,1.187
2020-02-23T01:30:00.0,6.51,6.17,6.11,3.7,86.78490490450001,3.875,1.25
2020-02-23T01:31:00.0,6.07,6.07,5.73,3.64,86.8407544045,3.875,1.25
2020-02-23T01:32:00.0,6.73,6.47,6.43,3.68,86.868674368,3.875,1.187
2020-02-23T01:33:00.0,6.25,6.33,6.51,3.74,86.64522531200001,3.875,1.25
2020-02-23T01:34:00.0,6.39,6.33,6.65,3.91,85.9456307245,3.875,1.187
2020-02-23T01:35:00.0,6.73,6.51,6.43,3.84,85.77743126050001,3.875,1.187
2020-02-23T01:36:00.0,6.11,6.25,5.95,3.76,85.77743126050001,3.875,1.187
2020-02-23T01:37:00.0,6.25,6.17,6.65,3.78,85.9456307245,3.875,1.187
2020-02-23T01:38:00.0,6.65,6.47,6.65,3.76,86.2257078845,3.875,1.25
2020-02-23T01:39:00.0,6.87,6.39,6.43,3.78,86.197714528,3.875,1.25
2020-02-23T01:40:00.0,6.61,6.13,6.11,3.78,86.2816850245,3.937,1.312
2020-02-23T01:41:00.0,6.61,6.25,6.39,3.73,86.1137153125,3.937,1.312
2020-02-23T01:42:00.0,6.39,6.51,6.65,3.72,86.2257078845,3.937,1.25
2020-02-23T01:43:00.0,6.83,6.47,6.51,3.74,86.30966880800001,3.937,1.25
2020-02-23T01:44:00.0,6.73,6.29,6.73,3.8,86.029687378,4,1.25
2020-02-23T01:45:00.0,6.17,6.29,6.25,3.94,85.581053362,4,1.25
2020-02-23T01:46:00.0,6.47,6.03,6.13,3.92,84.8784273245,4,1.25
2020-02-23T01:47:00.0,,,,,,,
2020-02-23T01:48:00.0,6.57,6.17,6.75,3.75,85.1597170645,3.937,1.312
2020-02-23T01:49:00.0,6.57,6.29,6.47,3.81,85.1034846445,3.937,1.312
2020-02-23T01:50:00.0,6.79,6.43,6.43,3.82,85.5529866125,4,1.375
2020-02-23T01:51:00.0,,,,,,,
2020-02-23T01:52:00.0,5.99,5.89,5.95,3.72,85.7213392445,4,1.375
2020-02-23T01:53:00.0,6.61,5.93,6.87,3.65,85.88957700050001,4,1.375
2020-02-23T01:54:00.0,6.73,6.79,6.87,3.76,85.9456307245,4,1.312
2020-02-23T01:55:00.0,6.43,6.51,6.61,3.8,85.86154535200001,4,1.312
2020-02-23T01:56:00.0,6.29,5.81,6.39,3.78,85.8335105125,4,1.375
2020-02-23T01:57:00.0,6.65,6.61,6.83,3.72,86.25369805,4,1.375
2020-02-23T01:58:00.0,,,,,,,
2020-02-23T01:59:00.0,6.25,6.47,6.73,3.8,86.701106722,4.062,1.312
2020-02-23T02:00:00.0,6.53,6.17,6.33,3.78,86.4495398605,4.062,1.375
2020-02-23T02:01:00.0,6.33,5.89,6.29,3.74,86.47750449800002,4.062,1.375
2020-02-23T02:02:00.0,6.33,6.35,6.51,3.7,86.421572032,4.062,1.375
2020-02-23T02:03:00.0,6.75,6.51,6.47,3.85,86.00167168450001,4.062,1.375
2020-02-23T02:04:00.0,6.75,6.61,6.33,3.93,85.8335105125,4.062,1.437
2020-02-23T02:05:00.0,7.09,6.51,6.51,3.91,85.6652344645,4,1.437
2020-02-23T02:06:00.0,6.39,6.07,6.35,3.87,85.6091169205,4,1.437
2020-02-23T02:07:00.0,6.33,6.53,6.47,3.8,85.74938684800001,4,1.437
2020-02-23T02:08:00.0,6.93,6.33,6.73,3.93,85.8335105125,4,1.437
2020-02-23T02:09:00.0,6.73,6.43,6.39,3.96,85.77743126050001,4,1.437
2020-02-23T02:10:00.0,6.51,6.53,6.39,3.94,85.6091169205,4,1.437
2020-02-23T02:11:00.0,6.29,6.25,6.29,3.86,85.6652344645,4,1.437
2020-02-23T02:12:00.0,6.69,6.47,6.83,3.88,85.86154535200001,4,1.437
2020-02-23T02:13:00.0,7.01,6.51,6.75,3.94,85.88957700050001,4,1.437
2020-02-23T02:14:00.0,6.87,6.25,6.13,3.97,86.141718242,4,1.437
2020-02-23T02:15:00.0,6.11,6.57,6.73,3.94,86.16971798050001,4,1.437
2020-02-23T02:16:00.0,6.33,6.21,5.77,3.92,86.16971798050001,4,1.5
2020-02-23T02:17:00.0,6.87,6.17,6.87,3.92,86.16971798050001,4,1.437
2020-02-23T02:18:00.0,7.01,6.75,7.01,4.02,85.88957700050001,4.062,1.437
2020-02-23T02:19:00.0,6.79,5.93,6.61,4.02,85.77743126050001,4.062,1.437
2020-02-23T02:20:00.0,6.51,6.65,6.97,4,85.6091169205,4,1.5
2020-02-23T02:21:00.0,6.43,6.07,6.35,3.96,85.5529866125,4.062,1.437
2020-02-23T02:22:00.0,6.43,6.29,6.91,3.96,85.8335105125,4.062,1.437
2020-02-23T02:23:00.0,6.51,6.35,6.73,3.97,85.9456307245,4.062,1.437
