time,TempPlant2,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-01-27T06:05:00.0,,,,,,,
2020-01-27T06:06:00.0,,,,,,,
2020-01-27T06:07:00.0,,,,,,,
2020-01-27T06:08:00.0,,,,,,,
2020-01-27T06:09:00.0,,,,,,,
2020-01-27T06:10:00.0,,,,,,,
2020-01-27T06:11:00.0,,,,,,,
2020-01-27T06:12:00.0,,,,,,,
2020-01-27T06:13:00.0,,,,,,,
2020-01-27T06:14:00.0,,,,,,,
2020-01-27T06:15:00.0,,,,,,,
2020-01-27T06:16:00.0,,,,,,,
2020-01-27T06:17:00.0,,,,,,,
2020-01-27T06:18:00.0,,,,,,,
2020-01-27T06:19:00.0,,,,,,,
2020-01-27T06:20:00.0,,,,,,,
2020-01-27T06:21:00.0,,,,,,,
2020-01-27T06:22:00.0,,,,,,,
2020-01-27T06:23:00.0,,,,,,,
2020-01-27T06:24:00.0,,,,,,,
2020-01-27T06:25:00.0,,,,,,,
2020-01-27T06:26:00.0,,,,,,,
2020-01-27T06:27:00.0,,,,,,,
2020-01-27T06:28:00.0,,,,,,,
2020-01-27T06:29:00.0,,,,,,,
2020-01-27T06:30:00.0,,,,,,,
2020-01-27T06:31:00.0,,,,,,,
2020-01-27T06:32:00.0,,,,,,,
2020-01-27T06:33:00.0,,,,,,,
2020-01-27T06:34:00.0,,,,,,,
2020-01-27T06:35:00.0,,,,,,,
2020-01-27T06:36:00.0,,,,,,,
2020-01-27T06:37:00.0,,,,,,,
2020-01-27T06:38:00.0,,,,,,,
2020-01-27T06:39:00.0,,,,,,,
2020-01-27T06:40:00.0,,,,,,,
2020-01-27T06:41:00.0,,,,,,,
2020-01-27T06:42:00.0,,,,,,,
2020-01-27T06:43:00.0,,,,,,,
2020-01-27T06:44:00.0,,,,,,,
2020-01-27T06:45:00.0,,,,,,,
2020-01-27T06:46:00.0,,,,,,,
2020-01-27T06:47:00.0,,,,,,,
2020-01-27T06:48:00.0,,,,,,,
2020-01-27T06:49:00.0,,,,,,,
2020-01-27T06:50:00.0,,,,,,,
2020-01-27T06:51:00.0,,,,,,,
2020-01-27T06:52:00.0,,,,,,,
2020-01-27T06:53:00.0,,,,,,,
2020-01-27T06:54:00.0,,,,,,,
2020-01-27T06:55:00.0,,,,,,,
2020-01-27T06:56:00.0,7.51,8.23,7.11,6.54,100.50793761250002,8.125,3.25
2020-01-27T06:57:00.0,7.61,8.01,7.15,6.64,101.50553892050002,8.187,3.312
2020-01-27T06:58:00.0,7.59,8.23,6.79,6.69,102.3942237805,8.25,3.312
2020-01-27T06:59:00.0,7.59,8.29,6.87,6.64,101.55791661250001,8.312,3.312
2020-01-27T07:00:00.0,,,,,,,
2020-01-27T07:01:00.0,,,,,,,
2020-01-27T07:02:00.0,7.65,8.33,7.15,6.6,102.49853242450001,8.437,3.312
2020-01-27T07:03:00.0,8.09,8.51,7.33,6.55,101.37453884800001,8.5,3.375
2020-01-27T07:04:00.0,7.61,8.87,7.47,6.9,100.98105998050002,8.562,3.437
2020-01-27T07:05:00.0,7.83,8.75,7.27,6.56,101.11229937800002,8.562,3.437
2020-01-27T07:06:00.0,8.01,8.61,7.33,6.79,101.4531484645,8.625,3.5
2020-01-27T07:07:00.0,7.83,8.61,7.51,6.57,101.55791661250001,8.687,3.562
2020-01-27T07:08:00.0,7.69,8.75,7.23,6.78,101.7149731045,8.687,3.5
2020-01-27T07:09:00.0,8.19,8.61,7.33,6.78,101.66263370450001,8.687,3.5
2020-01-27T07:10:00.0,7.73,8.65,7.47,6.8,101.76729974050001,8.687,3.437
2020-01-27T07:11:00.0,8.13,8.33,7.27,6.63,101.4007452445,8.625,3.5
2020-01-27T07:12:00.0,8.15,8.51,7.09,6.6,101.50553892050002,8.625,3.437
2020-01-27T07:13:00.0,7.83,8.15,7.19,6.5,101.34832926050001,8.625,3.375
2020-01-27T07:14:00.0,7.83,7.87,7.11,6.38,101.2434590005,8.562,3.312
2020-01-27T07:15:00.0,8.13,8.47,7.09,6.29,101.2434590005,8.5,3.312
2020-01-27T07:16:00.0,7.61,8.19,7.19,6.22,101.42694845,8.437,3.25
2020-01-27T07:17:00.0,7.37,8.33,7.29,6.22,101.4007452445,8.375,3.25
2020-01-27T07:18:00.0,7.15,8.09,7.41,6.18,101.47934528800002,8.312,3.187
2020-01-27T07:19:00.0,,,,,,,
2020-01-27T07:20:00.0,7.65,8.09,7.23,6.03,101.4531484645,8.187,3.125
2020-01-27T07:21:00.0,7.55,7.87,7.19,6.03,101.7149731045,8.125,3.125
2020-01-27T07:22:00.0,7.41,7.95,7.27,6.04,101.845765762,8.125,3.125
2020-01-27T07:23:00.0,7.55,7.65,7.29,6.04,101.845765762,8.062,3.125
2020-01-27T07:24:00.0,8.01,7.95,7.29,6.03,101.8196136125,8.062,3.187
2020-01-27T07:25:00.0,7.23,7.61,7.23,5.94,101.76729974050001,8.062,3.187
2020-01-27T07:26:00.0,7.37,7.27,7.33,5.88,101.87191472050002,8,3.125
2020-01-27T07:27:00.0,7.01,7.29,6.79,5.76,101.7149731045,7.937,3.125
2020-01-27T07:28:00.0,,,,,,,
2020-01-27T07:29:00.0,7.05,7.59,7.23,5.7,101.8196136125,7.875,3
2020-01-27T07:30:00.0,7.23,7.37,7.23,5.72,101.9242030645,7.875,2.937
2020-01-27T07:31:00.0,8.09,7.47,7.09,5.76,102.15934265800001,7.812,2.937
2020-01-27T07:32:00.0,7.29,7.29,6.87,5.8,102.1854533245,7.812,2.937
2020-01-27T07:33:00.0,7.11,7.05,7.27,5.91,102.7069965445,7.812,2.937
2020-01-27T07:34:00.0,6.73,7.23,7.11,5.83,101.7149731045,7.812,3
2020-01-27T07:35:00.0,7.19,7.11,7.11,5.79,102.15934265800001,7.812,3
2020-01-27T07:36:00.0,6.97,7.69,6.91,5.74,102.3942237805,7.812,3.062
2020-01-27T07:37:00.0,,,,,,,
2020-01-27T07:38:00.0,7.29,7.37,7.01,5.78,102.7069965445,7.812,3.125
2020-01-27T07:39:00.0,7.73,7.23,6.91,5.82,102.680949698,7.812,3.187
2020-01-27T07:40:00.0,7.47,7.23,7.05,5.94,102.55066760050002,7.812,3.187
2020-01-27T07:41:00.0,7.09,7.55,6.91,6.01,102.6548996605,7.812,3.187
2020-01-27T07:42:00.0,7.73,7.69,7.11,6.16,103.01930980450001,7.812,3.187
2020-01-27T07:43:00.0,7.77,7.61,7.37,6.16,102.0809915125,7.875,3.25
2020-01-27T07:44:00.0,,,,,,,
2020-01-27T07:45:00.0,7.55,7.55,7.61,6.56,101.8196136125,8.062,3.562
2020-01-27T07:46:00.0,7.87,7.69,7.87,6.71,101.9764786445,8.062,3.625
2020-01-27T07:47:00.0,,,,,,,
2020-01-27T07:48:00.0,,,,,,,
2020-01-27T07:49:00.0,7.97,8.33,7.87,7.16,101.08605788050001,8.25,3.812
2020-01-27T07:50:00.0,8.33,8.71,7.73,7.34,101.2434590005,8.25,3.875
2020-01-27T07:51:00.0,,,,,,,
2020-01-27T07:52:00.0,8.13,8.65,8.33,7.52,99.5585912245,8.5,3.937
2020-01-27T07:53:00.0,8.05,8.69,8.09,7.36,99.82271338450002,8.625,3.875
