time,TempPlant2,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-01-26T00:00:00.0,4.53,3.49,3.63,3.42,101.05981319200001,4.375,2.437
2020-01-26T00:01:00.0,4.31,3.59,4.01,3.45,101.13853768450001,4.375,2.437
2020-01-26T00:02:00.0,4.45,3.55,4.05,3.46,100.98105998050002,4.375,2.5
2020-01-26T00:03:00.0,4.67,3.49,3.63,3.48,101.13853768450001,4.375,2.5
2020-01-26T00:04:00.0,,,,,,,
2020-01-26T00:05:00.0,3.75,3.55,4.27,3.5,100.98105998050002,4.375,2.562
2020-01-26T00:06:00.0,4.45,3.55,3.79,3.5,100.9285418845,4.437,2.562
2020-01-26T00:07:00.0,4.23,3.63,3.75,3.49,100.87601102450002,4.375,2.5
2020-01-26T00:08:00.0,4.19,3.45,3.45,3.49,100.87601102450002,4.437,2.5
2020-01-26T00:09:00.0,3.97,3.63,3.79,3.48,100.9285418845,4.375,2.5
2020-01-26T00:10:00.0,3.85,3.67,3.23,3.45,100.82346740050001,4.437,2.5
2020-01-26T00:11:00.0,4.01,3.63,3.75,3.48,100.87601102450002,4.437,2.5
2020-01-26T00:12:00.0,4.31,3.55,3.75,3.5,100.98105998050002,4.437,2.437
2020-01-26T00:13:00.0,4.45,3.49,3.53,3.5,101.08605788050001,4.437,2.5
2020-01-26T00:14:00.0,4.49,3.45,4.11,3.5,101.007314242,4.437,2.5
2020-01-26T00:15:00.0,4.49,3.67,3.71,3.5,100.9285418845,4.437,2.5
2020-01-26T00:16:00.0,4.23,3.71,3.81,3.5,100.87601102450002,4.437,2.562
2020-01-26T00:17:00.0,4.31,3.45,3.85,3.53,100.9285418845,4.437,2.562
2020-01-26T00:18:00.0,4.01,3.53,3.67,3.54,100.87601102450002,4.437,2.562
2020-01-26T00:19:00.0,4.49,3.71,3.97,3.56,100.82346740050001,4.437,2.562
2020-01-26T00:20:00.0,4.59,3.89,3.55,3.58,100.82346740050001,4.437,2.562
2020-01-26T00:21:00.0,4.23,3.75,3.71,3.59,100.7183418605,4.5,2.625
2020-01-26T00:22:00.0,4.45,3.37,4.05,3.59,100.61316526450001,4.5,2.625
2020-01-26T00:23:00.0,4.27,3.41,3.93,3.6,100.61316526450001,4.562,2.625
2020-01-26T00:24:00.0,4.05,3.59,3.75,3.62,100.56055782050001,4.562,2.687
2020-01-26T00:25:00.0,4.41,3.49,4.19,3.68,100.56055782050001,4.625,2.75
2020-01-26T00:26:00.0,4.75,3.89,4.19,3.74,100.428983368,4.625,2.75
2020-01-26T00:27:00.0,4.41,3.81,3.71,3.76,100.29732914050001,4.687,2.812
2020-01-26T00:28:00.0,4.45,4.05,3.71,3.78,100.19194832050002,4.687,2.812
2020-01-26T00:29:00.0,4.41,3.93,3.33,3.8,100.0865164445,4.687,2.875
2020-01-26T00:30:00.0,4.57,3.81,3.75,3.8,100.00740903200001,4.687,2.875
2020-01-26T00:31:00.0,4.41,3.67,3.53,3.8,99.9810335125,4.687,2.875
2020-01-26T00:32:00.0,4.45,3.85,3.97,3.78,100.00740903200001,4.687,2.875
2020-01-26T00:33:00.0,4.49,3.93,3.81,3.78,99.9810335125,4.75,2.875
2020-01-26T00:34:00.0,4.33,3.85,4.01,3.79,99.9810335125,4.75,2.875
2020-01-26T00:35:00.0,4.75,4.19,3.81,3.77,99.9810335125,4.75,2.875
2020-01-26T00:36:00.0,4.37,3.63,4.05,3.74,99.9810335125,4.75,2.812
2020-01-26T00:37:00.0,4.19,3.63,3.89,3.73,100.0337813605,4.75,2.812
2020-01-26T00:38:00.0,4.07,3.81,3.29,3.71,100.11287920000001,4.687,2.75
2020-01-26T00:39:00.0,4.19,3.79,3.75,3.68,100.11287920000001,4.75,2.75
2020-01-26T00:40:00.0,4.11,3.25,3.81,3.66,100.19194832050002,4.687,2.75
2020-01-26T00:41:00.0,4.11,3.79,3.85,3.68,100.24464511250001,4.687,2.75
2020-01-26T00:42:00.0,4.41,3.53,3.67,3.66,100.19194832050002,4.75,2.75
2020-01-26T00:43:00.0,3.97,3.81,3.89,3.64,100.19194832050002,4.75,2.687
2020-01-26T00:44:00.0,4.31,3.79,4.01,3.61,100.19194832050002,4.687,2.687
2020-01-26T00:45:00.0,4.07,3.71,3.55,3.61,100.24464511250001,4.687,2.625
2020-01-26T00:46:00.0,4.45,3.71,3.53,3.6,100.24464511250001,4.687,2.687
2020-01-26T00:47:00.0,4.67,3.55,4.11,3.6,100.24464511250001,4.687,2.625
2020-01-26T00:48:00.0,4.67,3.85,3.97,3.6,100.24464511250001,4.75,2.625
