time,TempPlant1,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-11T00:00:00.0,4.81,4.19,4.75,5.61,67.29682628050001,6.312,5.187
2020-02-11T00:01:00.0,5.01,4.71,5.11,5.63,66.60431952200001,6.312,5.187
2020-02-11T00:02:00.0,4.89,4.63,5.45,5.68,66.7550080645,6.312,5.187
2020-02-11T00:03:00.0,4.93,4.79,5.33,5.68,66.60431952200001,6.375,5.187
2020-02-11T00:04:00.0,5.19,4.85,5.15,5.68,67.26675239200001,6.312,5.187
2020-02-11T00:05:00.0,5.15,4.93,5.45,5.7,66.8755014605,6.312,5.187
2020-02-11T00:06:00.0,4.93,4.97,5.23,5.67,67.146424928,6.312,5.187
2020-02-11T00:07:00.0,5.19,4.59,5.41,5.7,66.8152611445,6.312,5.187
2020-02-11T00:08:00.0,4.89,4.45,5.15,5.71,67.0561458245,6.375,5.187
2020-02-11T00:09:00.0,4.89,4.79,4.93,5.71,67.44714785800001,6.375,5.187
2020-02-11T00:10:00.0,5.05,5.01,5.27,5.68,67.38702880000001,6.312,5.187
2020-02-11T00:11:00.0,4.89,4.41,5.71,5.72,67.32689697800001,6.375,5.187
2020-02-11T00:12:00.0,5.07,4.53,5.19,5.69,67.32689697800001,6.312,5.187
2020-02-11T00:13:00.0,5.23,4.33,5.19,5.66,67.2366753125,6.312,5.125
2020-02-11T00:14:00.0,5.01,4.75,5.55,5.66,67.3569644845,6.312,5.125
2020-02-11T00:15:00.0,5.37,4.81,5.23,5.72,67.32689697800001,6.312,5.187
2020-02-11T00:16:00.0,4.93,4.81,5.33,5.71,67.4772026005,6.312,5.187
2020-02-11T00:17:00.0,,,,,,,
2020-02-11T00:18:00.0,4.89,5.29,5.29,5.68,67.627428448,6.25,5.125
2020-02-11T00:19:00.0,5.29,5.07,5.63,5.71,67.68749645,6.25,5.125
2020-02-11T00:20:00.0,5.15,4.15,5.23,5.65,67.8976339405,6.25,5.125
2020-02-11T00:21:00.0,4.57,4.75,5.45,5.62,67.5973896605,6.25,5.062
2020-02-11T00:22:00.0,5.15,5.33,5.11,5.61,67.32689697800001,6.25,5.062
2020-02-11T00:23:00.0,5.29,4.75,4.85,5.58,67.71752566450002,6.187,5
2020-02-11T00:24:00.0,4.93,4.31,5.37,5.56,67.38702880000001,6.187,5
2020-02-11T00:25:00.0,5.05,4.67,4.93,5.56,67.50725415200002,6.125,5
2020-02-11T00:26:00.0,4.67,4.67,4.81,5.54,67.4170899245,6.125,5
2020-02-11T00:27:00.0,4.57,4.53,5.33,5.53,67.5373025125,6.125,5
2020-02-11T00:28:00.0,4.71,4.59,5.29,5.52,67.6574640445,6.125,4.937
2020-02-11T00:29:00.0,4.75,5.15,4.93,5.52,67.26675239200001,6.125,4.937
2020-02-11T00:30:00.0,4.79,4.37,5.29,5.5,67.3569644845,6.062,4.937
2020-02-11T00:31:00.0,,,,,,,
2020-02-11T00:32:00.0,,,,,,,
2020-02-11T00:33:00.0,,,,,,,
2020-02-11T00:34:00.0,,,,,,,
2020-02-11T00:35:00.0,4.53,4.11,5.19,5.44,69.423916168,6.062,5.062
2020-02-11T00:36:00.0,4.45,4.71,4.97,5.45,70.04997292450001,6.125,5.187
2020-02-11T00:37:00.0,4.41,4.31,4.71,5.45,70.07975005000002,6.125,5.187
2020-02-11T00:38:00.0,4.63,4.33,5.11,5.38,69.39406884050001,6.125,5.062
2020-02-11T00:39:00.0,4.71,4.01,5.05,5.38,69.364218322,6.062,5.062
2020-02-11T00:40:00.0,4.33,4.45,4.67,5.33,69.21491786450001,6.062,5.062
2020-02-11T00:41:00.0,4.27,4.31,4.97,5.3,68.5869848,6.062,4.937
2020-02-11T00:42:00.0,4.59,4.37,4.85,5.26,68.2575058645,6,4.937
2020-02-11T00:43:00.0,4.15,3.97,4.89,5.26,68.0176423045,6,4.875
2020-02-11T00:44:00.0,4.57,4.01,5.37,5.32,68.5869848,6,5
2020-02-11T00:45:00.0,4.41,4.33,5.01,5.36,68.82636332800001,6,5.062
